,index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit
5856,5856,F,N,Y,A,157500.0,State servant,Secondary / secondary special,Married,House / apartment,46,1843.0,B,N,Y,N,C,B,3.0,1.0
5857,5857,F,Y,Y,B,135000.0,Working,Higher education,Married,House / apartment,33,721.0,A,N,N,N,A,C,32.0,2.0
5858,5858,F,Y,N,A,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,27,1108.0,C,Y,N,Y,B,A,6.0,0.0
5859,5859,M,N,Y,A,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,26,430.0,B,Y,N,N,B,A,47.0,1.0
5860,5860,F,Y,N,C,315000.0,Working,Secondary / secondary special,Married,Rented apartment,33,840.0,C,N,Y,Y,A,D,24.0,2.0
5861,5861,F,N,Y,A,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,53,2878.0,A,N,N,N,B,B,41.0,2.0
5862,5862,F,Y,N,A,180000.0,Working,Secondary / secondary special,Married,House / apartment,50,5574.0,C,Y,Y,N,B,B,21.0,2.0
5863,5863,F,Y,N,B,225000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,32,1740.0,B,N,N,Y,B,B,56.0,2.0
5864,5864,F,N,Y,C,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,1025.0,A,N,N,N,C,D,7.0,1.0
5865,5865,F,N,N,A,135000.0,Working,Secondary / secondary special,Married,House / apartment,28,1185.0,C,Y,Y,N,C,B,2.0,1.0
5866,5866,F,N,Y,A,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,62,0.0,A,N,N,N,A,A,38.0,2.0
5867,5867,F,N,Y,B,270000.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,30,1753.0,A,N,N,N,B,C,15.0,0.0
5868,5868,M,Y,Y,A,85500.0,Pensioner,Secondary / secondary special,Married,House / apartment,60,0.0,B,N,Y,N,A,B,43.0,2.0
5869,5869,M,Y,Y,A,207000.0,Pensioner,Higher education,Married,House / apartment,66,0.0,A,N,N,N,A,B,32.0,1.0
5870,5870,F,N,Y,A,193500.0,State servant,Higher education,Married,House / apartment,30,1159.0,A,N,N,N,B,B,44.0,2.0
5871,5871,M,Y,Y,C,112500.0,Working,Secondary / secondary special,Married,House / apartment,27,1840.0,B,Y,N,N,C,D,36.0,2.0
5872,5872,M,Y,N,A,270000.0,Commercial associate,Higher education,Married,House / apartment,35,1392.0,A,N,N,N,B,B,29.0,2.0
5873,5873,F,N,Y,A,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56,4187.0,A,N,N,N,B,B,54.0,2.0
5874,5874,M,Y,N,A,139500.0,Working,Secondary / secondary special,Married,House / apartment,50,3505.0,C,Y,Y,N,B,B,3.0,1.0
5875,5875,F,N,N,A,135000.0,Working,Incomplete higher,Married,House / apartment,44,2119.0,A,N,N,N,B,B,12.0,0.0
5876,5876,F,N,Y,A,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,27,1032.0,A,N,N,N,B,A,14.0,1.0
5877,5877,M,Y,N,B,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,35,1169.0,A,N,N,N,B,C,11.0,2.0
5878,5878,M,N,N,B,202500.0,State servant,Incomplete higher,Married,With parents,33,575.0,A,N,N,N,B,C,10.0,1.0
5879,5879,M,Y,N,A,225000.0,Working,Secondary / secondary special,Married,House / apartment,31,1976.0,B,Y,N,N,A,B,15.0,1.0
5880,5880,F,N,Y,A,117000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,33,4710.0,C,Y,Y,N,B,B,27.0,2.0
5881,5881,F,N,N,B,144000.0,Commercial associate,Higher education,Married,House / apartment,34,1315.0,C,Y,Y,N,A,C,37.0,2.0
5882,5882,M,N,N,A,157500.0,Working,Secondary / secondary special,Married,House / apartment,35,1525.0,B,Y,N,N,B,B,27.0,2.0
5883,5883,F,N,Y,D,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33,2287.0,A,N,N,N,B,D,22.0,1.0
5884,5884,F,N,Y,A,112500.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,28,279.0,C,N,Y,Y,A,A,60.0,2.0
5885,5885,F,N,Y,A,247500.0,Working,Secondary / secondary special,Widow,House / apartment,49,4813.0,A,N,N,N,A,A,30.0,2.0
5886,5886,F,N,N,A,63000.0,Commercial associate,Higher education,Married,House / apartment,40,2004.0,A,N,N,N,B,B,11.0,2.0
5887,5887,F,N,Y,B,67500.0,Working,Secondary / secondary special,Separated,House / apartment,30,2087.0,C,Y,Y,N,B,B,9.0,1.0
5888,5888,M,Y,Y,A,110250.0,Working,Higher education,Single / not married,House / apartment,38,5758.0,A,N,N,N,A,A,43.0,2.0
5889,5889,F,N,Y,A,126000.0,State servant,Higher education,Married,House / apartment,43,6652.0,B,N,Y,N,A,B,60.0,0.0
5890,5890,F,N,Y,A,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,56,0.0,A,N,N,N,A,B,29.0,2.0
5891,5891,F,Y,Y,B,135000.0,Working,Higher education,Married,House / apartment,27,2311.0,A,N,N,N,A,C,4.0,1.0
5892,5892,F,N,Y,B,121500.0,Working,Secondary / secondary special,Married,House / apartment,44,962.0,B,N,Y,N,B,C,20.0,0.0
5893,5893,F,N,Y,A,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,59,0.0,A,N,N,N,A,B,3.0,1.0
5894,5894,F,N,N,A,270000.0,Working,Secondary / secondary special,Civil marriage,Office apartment,25,840.0,C,Y,Y,N,B,B,14.0,2.0
5895,5895,M,Y,Y,A,315000.0,Working,Secondary / secondary special,Married,House / apartment,49,1151.0,B,Y,N,N,D,B,7.0,2.0
5896,5896,M,Y,Y,A,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,59,979.0,A,N,N,N,B,B,35.0,2.0
5897,5897,F,N,Y,C,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,39,555.0,A,N,N,N,B,C,8.0,1.0
5898,5898,F,Y,Y,A,225000.0,Working,Higher education,Married,House / apartment,47,3153.0,B,N,Y,N,B,B,22.0,1.0
5899,5899,F,N,N,A,153000.0,Pensioner,Lower secondary,Married,House / apartment,64,0.0,A,N,N,N,A,B,25.0,2.0
5900,5900,F,N,Y,A,247500.0,Commercial associate,Higher education,Single / not married,House / apartment,59,3505.0,A,N,N,N,B,A,40.0,1.0
5901,5901,M,Y,N,A,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,31,1604.0,A,N,N,N,B,B,39.0,1.0
5902,5902,M,Y,Y,A,360000.0,Working,Higher education,Married,House / apartment,47,4865.0,A,N,N,N,B,B,16.0,2.0
5903,5903,F,Y,Y,A,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,65,0.0,A,N,N,N,A,B,9.0,2.0
5904,5904,F,N,Y,A,257625.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,38,609.0,A,N,N,N,B,B,40.0,2.0
5905,5905,F,N,Y,B,135000.0,Working,Higher education,Married,House / apartment,36,348.0,B,N,N,Y,B,C,30.0,2.0
5906,5906,F,Y,N,A,259500.0,Working,Secondary / secondary special,Married,House / apartment,35,4602.0,C,Y,Y,N,B,B,19.0,0.0
5907,5907,F,Y,Y,A,243000.0,Working,Secondary / secondary special,Single / not married,House / apartment,40,2057.0,A,N,N,N,B,A,39.0,2.0
5908,5908,F,N,N,B,112500.0,Commercial associate,Higher education,Married,With parents,33,3272.0,A,N,N,N,B,C,3.0,1.0
5909,5909,M,N,Y,B,270000.0,State servant,Secondary / secondary special,Married,House / apartment,46,370.0,A,N,N,N,B,C,28.0,2.0
5910,5910,F,N,Y,A,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,46,642.0,A,N,N,N,B,A,60.0,1.0
5911,5911,F,N,N,A,112500.0,Working,Secondary / secondary special,Married,House / apartment,25,2223.0,B,N,Y,N,A,B,31.0,2.0
5912,5912,M,Y,N,B,315000.0,Commercial associate,Higher education,Married,With parents,32,716.0,C,Y,Y,N,B,C,13.0,2.0
5913,5913,F,N,Y,A,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,68,0.0,A,N,N,N,A,B,13.0,1.0
5914,5914,M,N,Y,A,112500.0,Working,Secondary / secondary special,Married,House / apartment,57,1099.0,B,Y,N,N,B,B,43.0,2.0
5915,5915,F,N,Y,A,112500.0,State servant,Secondary / secondary special,Married,House / apartment,58,808.0,A,N,N,N,C,B,42.0,2.0
5916,5916,M,N,Y,D,180000.0,Working,Secondary / secondary special,Married,House / apartment,39,6860.0,A,N,N,N,B,D,39.0,2.0
5917,5917,F,N,Y,B,135000.0,Working,Incomplete higher,Married,House / apartment,43,3505.0,A,N,N,N,A,C,19.0,0.0
5918,5918,F,N,Y,A,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,64,0.0,A,N,N,N,A,A,18.0,2.0
5919,5919,M,N,Y,A,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,28,1175.0,A,N,N,N,D,B,41.0,2.0
5920,5920,F,N,N,A,315000.0,Commercial associate,Higher education,Married,House / apartment,44,309.0,D,Y,Y,Y,B,B,17.0,0.0
5921,5921,F,N,N,A,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,27,2031.0,A,N,N,N,B,B,9.0,2.0
5922,5922,F,N,N,A,157500.0,Working,Higher education,Married,House / apartment,31,2936.0,A,N,N,N,B,B,22.0,2.0
5923,5923,F,N,N,A,270000.0,Working,Secondary / secondary special,Married,House / apartment,35,2204.0,C,Y,Y,N,B,B,20.0,2.0
5924,5924,F,N,Y,A,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,58,0.0,A,N,N,N,A,A,52.0,2.0
5925,5925,F,N,Y,A,112500.0,Working,Secondary / secondary special,Married,House / apartment,49,2773.0,B,N,Y,N,B,B,51.0,2.0
5926,5926,M,N,Y,A,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,60,0.0,A,N,N,N,A,B,39.0,1.0
5927,5927,F,N,N,C,139500.0,Working,Incomplete higher,Married,With parents,36,2988.0,C,Y,Y,N,B,D,7.0,2.0
5928,5928,M,Y,N,A,292500.0,Working,Higher education,Married,House / apartment,49,713.0,A,N,N,N,D,B,41.0,2.0
5930,5930,F,N,Y,A,144000.0,Commercial associate,Higher education,Married,House / apartment,26,3078.0,C,Y,Y,N,B,B,25.0,2.0
5931,5931,M,Y,Y,B,144000.0,Working,Secondary / secondary special,Married,House / apartment,23,1070.0,B,N,N,Y,B,C,26.0,2.0
5932,5932,F,N,Y,B,135000.0,State servant,Higher education,Civil marriage,House / apartment,46,3505.0,C,Y,Y,N,B,C,33.0,2.0
5933,5933,F,Y,N,A,225000.0,Working,Higher education,Married,House / apartment,41,5490.0,A,N,N,N,B,B,4.0,1.0
5934,5934,F,N,Y,A,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,45,1043.0,A,N,N,N,B,B,0.0,1.0
5935,5935,F,N,Y,A,76500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,64,0.0,A,N,N,N,A,A,37.0,2.0
5936,5936,M,N,N,A,135000.0,Working,Secondary / secondary special,Married,House / apartment,40,3518.0,B,Y,N,N,B,B,60.0,2.0
5937,5937,F,N,Y,A,135000.0,Pensioner,Higher education,Single / not married,House / apartment,61,0.0,A,N,N,N,A,A,8.0,2.0
5938,5938,F,N,N,B,135000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,29,2802.0,A,N,N,N,B,B,43.0,1.0
5941,5941,F,N,Y,A,247500.0,Commercial associate,Higher education,Married,House / apartment,32,2980.0,A,N,N,N,B,B,6.0,2.0
5942,5942,F,N,Y,A,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,59,0.0,A,N,N,N,A,B,21.0,1.0
5943,5943,F,N,Y,B,337500.0,Working,Secondary / secondary special,Married,House / apartment,35,3329.0,B,N,N,Y,B,C,43.0,2.0
5944,5944,M,N,N,C,180000.0,Working,Secondary / secondary special,Married,House / apartment,27,2324.0,B,N,N,Y,B,D,22.0,2.0
5945,5945,M,Y,Y,B,202500.0,Working,Secondary / secondary special,Married,House / apartment,41,2102.0,C,Y,Y,N,B,C,31.0,0.0
5946,5946,M,Y,Y,B,315000.0,Commercial associate,Secondary / secondary special,Married,With parents,28,298.0,B,N,Y,N,A,C,40.0,2.0
5947,5947,M,N,Y,C,270000.0,Working,Secondary / secondary special,Married,House / apartment,34,3608.0,A,N,N,N,B,D,19.0,2.0
5949,5949,M,Y,N,A,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,36,1404.0,C,Y,Y,N,B,A,47.0,2.0
5950,5950,F,Y,Y,A,81000.0,Working,Secondary / secondary special,Married,House / apartment,36,763.0,B,Y,N,N,B,B,56.0,2.0
5951,5951,M,N,Y,A,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,4039.0,A,N,N,N,D,B,47.0,1.0
5952,5952,M,Y,Y,A,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,25,1473.0,A,N,N,N,B,A,28.0,1.0
5953,5953,M,N,Y,C,270000.0,Working,Higher education,Married,House / apartment,32,1447.0,B,N,N,Y,D,D,18.0,2.0
5954,5954,F,N,Y,A,81000.0,Working,Secondary / secondary special,Single / not married,House / apartment,52,2454.0,B,N,Y,N,A,A,28.0,2.0
5955,5955,M,Y,Y,A,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,57,4369.0,C,Y,Y,N,B,B,58.0,2.0
5956,5956,F,N,Y,A,99000.0,Pensioner,Higher education,Separated,House / apartment,67,0.0,A,N,N,N,A,A,20.0,2.0
5957,5957,F,N,Y,A,157500.0,State servant,Secondary / secondary special,Married,House / apartment,50,7213.0,A,N,N,N,C,B,45.0,2.0
5959,5959,M,N,Y,A,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,23,582.0,A,N,N,N,B,A,1.0,0.0
5960,5960,F,Y,N,A,315000.0,Working,Secondary / secondary special,Married,House / apartment,53,4064.0,A,N,N,N,D,B,39.0,2.0
5961,5961,M,N,Y,A,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,41,1525.0,C,Y,Y,N,C,B,36.0,2.0
5962,5962,F,N,Y,C,112500.0,Working,Secondary / secondary special,Married,House / apartment,32,2568.0,B,Y,N,N,B,D,31.0,2.0
5963,5963,F,N,Y,B,112500.0,State servant,Incomplete higher,Civil marriage,House / apartment,29,3570.0,B,N,Y,N,C,C,9.0,2.0
5964,5964,F,N,Y,A,157500.0,Working,Secondary / secondary special,Married,House / apartment,32,1220.0,A,N,N,N,B,B,26.0,0.0
5965,5965,M,Y,Y,C,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,44,219.0,A,N,N,N,B,D,6.0,0.0
5966,5966,F,N,Y,C,202500.0,Working,Higher education,Married,House / apartment,37,3259.0,B,N,Y,N,B,D,9.0,1.0
5967,5967,F,N,Y,B,99000.0,Working,Secondary / secondary special,Married,Municipal apartment,30,2809.0,A,N,N,N,B,C,25.0,1.0
5968,5968,F,N,Y,A,193500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59,0.0,A,N,N,N,A,B,2.0,1.0
5969,5969,M,Y,N,A,225000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,47,2631.0,A,N,N,N,D,A,17.0,1.0
5970,5970,F,N,Y,A,135000.0,Working,Secondary / secondary special,Married,House / apartment,36,777.0,C,Y,Y,N,B,B,22.0,2.0
5971,5971,F,N,Y,A,157500.0,Commercial associate,Higher education,Married,House / apartment,31,566.0,A,N,N,N,B,B,1.0,1.0
5972,5972,F,N,Y,C,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,27,1679.0,A,N,N,N,B,D,48.0,2.0
5973,5973,M,N,Y,A,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,47,3505.0,A,N,N,N,B,B,50.0,2.0
5974,5974,F,N,N,A,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41,1466.0,C,Y,Y,N,B,B,33.0,1.0
5975,5975,M,N,Y,A,259500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,59,0.0,A,N,N,N,A,A,11.0,2.0
5976,5976,M,Y,N,A,315000.0,Working,Higher education,Married,House / apartment,56,3505.0,C,N,Y,Y,A,B,7.0,2.0
5978,5978,F,N,Y,A,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62,0.0,A,N,N,N,A,B,23.0,2.0
5979,5979,M,Y,Y,B,189000.0,Working,Incomplete higher,Married,House / apartment,41,2501.0,B,N,Y,N,A,C,11.0,1.0
5980,5980,F,N,Y,C,270000.0,Commercial associate,Higher education,Civil marriage,House / apartment,30,3697.0,A,N,N,N,B,D,38.0,2.0
5981,5981,M,Y,N,A,274500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,47,3567.0,A,N,N,N,B,B,8.0,2.0
5983,5983,M,Y,Y,A,360000.0,Working,Secondary / secondary special,Married,House / apartment,37,1185.0,A,N,N,N,B,B,47.0,1.0
5984,5984,F,N,Y,A,112500.0,Working,Secondary / secondary special,Married,Municipal apartment,56,3680.0,A,N,N,N,A,B,41.0,1.0
5985,5985,F,N,N,A,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,63,0.0,B,N,Y,N,A,A,3.0,0.0
5986,5986,F,Y,Y,A,144000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,45,371.0,A,N,N,N,B,B,53.0,1.0
5987,5987,M,Y,Y,A,94500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57,0.0,A,N,N,N,A,B,38.0,0.0
5988,5988,F,N,Y,A,67500.0,Pensioner,Lower secondary,Single / not married,House / apartment,60,0.0,A,N,N,N,A,A,7.0,2.0
5989,5989,F,Y,N,A,108000.0,Working,Secondary / secondary special,Married,House / apartment,45,4157.0,A,N,N,N,B,B,5.0,2.0
5990,5990,M,Y,Y,A,135000.0,Working,Secondary / secondary special,Married,House / apartment,34,777.0,A,N,N,N,B,B,18.0,2.0
5991,5991,F,N,N,A,103500.0,Pensioner,Higher education,Married,House / apartment,59,0.0,B,N,Y,N,A,B,24.0,0.0
5992,5992,F,N,Y,B,180000.0,Commercial associate,Higher education,Married,House / apartment,42,6094.0,C,N,Y,Y,B,C,17.0,0.0
5993,5993,M,Y,Y,C,108000.0,State servant,Secondary / secondary special,Married,House / apartment,34,918.0,B,Y,N,N,A,D,39.0,0.0
5994,5994,M,Y,Y,A,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,32,1674.0,B,N,N,Y,B,B,13.0,2.0
5995,5995,M,Y,Y,A,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,64,1144.0,B,N,Y,N,B,B,16.0,2.0
5996,5996,F,N,Y,B,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,51,4114.0,A,N,N,N,B,C,22.0,2.0
5997,5997,M,N,Y,A,270000.0,Working,Higher education,Married,House / apartment,37,3965.0,B,N,Y,N,D,B,31.0,2.0
5998,5998,M,Y,Y,A,139500.0,Commercial associate,Higher education,Married,House / apartment,23,263.0,B,Y,N,N,D,B,21.0,1.0
5999,5999,F,N,N,A,67500.0,Working,Secondary / secondary special,Married,Municipal apartment,49,3505.0,A,N,N,N,C,B,9.0,2.0
6000,6000,F,N,Y,A,225000.0,Commercial associate,Higher education,Widow,House / apartment,59,3505.0,C,Y,Y,N,B,A,8.0,0.0
6001,6001,F,N,N,A,157500.0,Working,Incomplete higher,Married,House / apartment,46,2687.0,A,N,N,N,B,B,22.0,2.0
6002,6002,F,N,Y,A,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,58,0.0,A,N,N,N,A,B,44.0,2.0
6003,6003,F,N,Y,C,63000.0,Working,Secondary / secondary special,Married,House / apartment,28,1203.0,A,N,N,N,C,D,21.0,2.0
6004,6004,F,N,Y,A,292500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57,0.0,A,N,N,N,A,B,12.0,1.0
6005,6005,M,N,Y,A,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0.0,B,N,Y,N,A,B,18.0,2.0
6006,6006,F,N,Y,A,67500.0,State servant,Secondary / secondary special,Married,House / apartment,48,2354.0,C,Y,Y,N,A,B,18.0,2.0
6007,6007,F,N,Y,B,112500.0,Working,Secondary / secondary special,Married,House / apartment,28,2774.0,B,N,N,Y,B,C,22.0,1.0
6008,6008,M,Y,Y,A,161100.0,Pensioner,Secondary / secondary special,Married,House / apartment,54,0.0,A,N,N,N,A,B,20.0,0.0
6009,6009,M,Y,Y,A,202500.0,Commercial associate,Higher education,Single / not married,House / apartment,28,2378.0,A,N,N,N,B,A,3.0,0.0
6010,6010,F,N,Y,A,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,56,0.0,A,N,N,N,A,B,5.0,0.0
6011,6011,M,N,Y,A,166500.0,Working,Secondary / secondary special,Married,House / apartment,51,6276.0,C,Y,Y,N,B,B,9.0,2.0
6012,6012,M,Y,Y,C,85500.0,Working,Secondary / secondary special,Married,House / apartment,39,3079.0,A,N,N,N,A,D,13.0,2.0
6013,6013,F,N,Y,B,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,41,6772.0,B,N,N,Y,B,C,34.0,2.0
6014,6014,F,N,N,A,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59,0.0,B,N,N,Y,A,B,57.0,2.0
6015,6015,F,N,N,B,135000.0,Working,Higher education,Separated,House / apartment,35,2043.0,B,N,Y,N,B,B,9.0,2.0
6016,6016,M,N,N,B,135000.0,Working,Secondary / secondary special,Married,House / apartment,30,96.0,B,Y,N,N,B,C,58.0,2.0
6017,6017,M,Y,N,A,202500.0,Working,Lower secondary,Married,Rented apartment,40,865.0,C,Y,Y,N,B,B,22.0,2.0
6018,6018,M,N,Y,A,315000.0,Working,Higher education,Single / not married,House / apartment,29,3084.0,A,N,N,N,B,A,57.0,2.0
6019,6019,F,N,Y,C,157500.0,Working,Secondary / secondary special,Married,House / apartment,29,2351.0,A,N,N,N,B,D,7.0,2.0
6020,6020,M,N,Y,C,157500.0,Working,Secondary / secondary special,Married,House / apartment,27,1447.0,A,N,N,N,A,D,22.0,2.0
6021,6021,F,N,N,A,225000.0,Working,Secondary / secondary special,Separated,House / apartment,32,1388.0,A,N,N,N,B,A,15.0,2.0
6022,6022,F,N,Y,A,112500.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,28,279.0,C,N,Y,Y,A,A,6.0,2.0
6023,6023,M,N,N,B,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30,727.0,C,Y,Y,N,B,C,9.0,2.0
6024,6024,M,Y,N,A,234000.0,Commercial associate,Incomplete higher,Married,House / apartment,29,1934.0,B,N,Y,N,A,B,11.0,2.0
6025,6025,F,N,Y,A,135000.0,Working,Secondary / secondary special,Married,House / apartment,59,1876.0,A,N,N,N,B,B,56.0,2.0
6026,6026,F,N,N,A,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48,4219.0,A,N,N,N,B,B,7.0,2.0
6027,6027,M,Y,Y,B,292500.0,Commercial associate,Higher education,Married,House / apartment,34,3322.0,A,N,N,N,A,C,46.0,0.0
6028,6028,M,N,Y,A,270000.0,Working,Secondary / secondary special,Married,House / apartment,51,3153.0,B,N,Y,N,B,B,49.0,0.0
6029,6029,M,Y,N,B,225000.0,Working,Secondary / secondary special,Married,House / apartment,28,1878.0,A,N,N,N,B,C,14.0,2.0
6030,6030,F,Y,Y,B,360000.0,Working,Higher education,Married,House / apartment,31,2475.0,A,N,N,N,A,C,12.0,1.0
6031,6031,F,Y,N,A,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37,982.0,B,N,Y,N,A,B,28.0,2.0
6032,6032,F,Y,Y,A,112500.0,Working,Higher education,Married,House / apartment,27,505.0,C,Y,Y,N,B,B,28.0,2.0
6034,6034,F,N,Y,A,225000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,57,1050.0,A,N,N,N,C,A,7.0,1.0
6035,6035,F,N,N,A,126000.0,State servant,Secondary / secondary special,Married,House / apartment,49,3666.0,B,Y,N,N,C,B,21.0,2.0
6036,6036,F,N,N,A,135000.0,Working,Secondary / secondary special,Married,House / apartment,29,1093.0,B,Y,N,N,A,B,20.0,2.0
6037,6037,M,Y,Y,A,180000.0,Working,Secondary / secondary special,Married,House / apartment,55,3505.0,B,Y,N,N,B,B,3.0,1.0
6038,6038,F,N,Y,B,259500.0,Working,Higher education,Married,House / apartment,38,3027.0,A,N,N,N,A,C,19.0,2.0
6039,6039,M,N,Y,A,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,22,597.0,A,N,N,N,B,A,3.0,1.0
6041,6041,F,N,Y,A,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,49,1603.0,C,N,Y,Y,B,A,8.0,2.0
6043,6043,F,Y,N,B,112500.0,Commercial associate,Secondary / secondary special,Married,Office apartment,39,2860.0,A,N,N,N,B,C,21.0,1.0
6044,6044,F,N,Y,A,54000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,62,0.0,B,N,N,Y,A,A,9.0,2.0
6045,6045,F,N,Y,A,175500.0,Commercial associate,Higher education,Married,House / apartment,41,2227.0,C,Y,Y,N,D,B,8.0,2.0
6046,6046,F,N,Y,A,247500.0,Working,Secondary / secondary special,Separated,House / apartment,47,5184.0,C,Y,Y,N,B,A,39.0,2.0
6047,6047,F,N,N,B,67500.0,Working,Secondary / secondary special,Married,House / apartment,45,6959.0,A,N,N,N,B,C,5.0,2.0
6048,6048,M,Y,N,A,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,25,308.0,A,N,N,N,B,A,35.0,0.0
6049,6049,F,N,Y,A,292500.0,Working,Secondary / secondary special,Widow,House / apartment,54,3220.0,B,N,Y,N,C,A,52.0,2.0
6050,6050,M,N,Y,A,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57,0.0,A,N,N,N,A,B,53.0,2.0
6051,6051,F,Y,Y,A,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,39,1936.0,A,N,N,N,B,B,18.0,0.0
6052,6052,F,Y,Y,A,216000.0,Working,Secondary / secondary special,Married,House / apartment,58,3641.0,A,N,N,N,D,B,33.0,2.0
6053,6053,F,N,Y,B,202500.0,Working,Secondary / secondary special,Married,House / apartment,38,4673.0,A,N,N,N,A,C,25.0,2.0
6054,6054,F,Y,Y,C,270000.0,Commercial associate,Higher education,Married,House / apartment,37,428.0,B,N,Y,N,D,D,14.0,0.0
6055,6055,M,Y,N,A,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,32,1164.0,C,Y,N,Y,B,B,46.0,2.0
6056,6056,M,N,Y,B,259500.0,Commercial associate,Higher education,Married,House / apartment,36,4239.0,A,N,N,N,D,C,6.0,2.0
6057,6057,M,N,N,A,225000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,25,1022.0,A,N,N,N,B,A,26.0,1.0
6058,6058,M,Y,Y,A,179100.0,Commercial associate,Secondary / secondary special,Married,Office apartment,44,856.0,A,N,N,N,B,B,34.0,2.0
6059,6059,M,Y,N,A,162000.0,Working,Secondary / secondary special,Married,House / apartment,35,1048.0,A,N,N,N,B,B,18.0,2.0
6060,6060,F,N,N,A,139500.0,Commercial associate,Higher education,Single / not married,House / apartment,24,158.0,B,N,Y,N,B,A,37.0,1.0
6061,6061,F,N,Y,A,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42,1801.0,A,N,N,N,C,B,54.0,2.0
6062,6062,M,Y,Y,C,135000.0,Working,Secondary / secondary special,Married,House / apartment,38,2195.0,C,Y,Y,N,A,D,22.0,2.0
